column_name,xpath
transaction_provider_org_type,/iati-activities/iati-activity/transaction/provider-org/@type
transaction_provider_org_narrative_xml:lang,/iati-activities/iati-activity/transaction/provider-org/narrative/@xml:lang
transaction_provider_org_narrative,/iati-activities/iati-activity/transaction/provider-org/narrative/text()
transaction_receiver_org_ref,/iati-activities/iati-activity/transaction/receiver-org/@ref
transaction_receiver_org_receiver_activity_id,/iati-activities/iati-activity/transaction/receiver-org/@receiver-activity-id
transaction_receiver_org_type,/iati-activities/iati-activity/transaction/receiver-org/@type
transaction_receiver_org_narrative_xml:lang,/iati-activities/iati-activity/transaction/receiver-org/narrative/@xml:lang
transaction_receiver_org_narrative,/iati-activities/iati-activity/transaction/receiver-org/narrative/text()
transaction_disbursement_channel_code,/iati-activities/iati-activity/transaction/disbursement-channel/@code
transaction_disbursement_channel,/iati-activities/iati-activity/transaction/disbursement-channel/text()
transaction_sector_vocabulary,/iati-activities/iati-activity/transaction/sector/@vocabulary
transaction_sector_vocabulary_uri,/iati-activities/iati-activity/transaction/sector/@vocabulary-uri
transaction_sector_code,/iati-activities/iati-activity/transaction/sector/@code
transaction_sector_percentage,/iati-activities/iati-activity/transaction/sector/@percentage
transaction_sector_narrative_xml:lang,/iati-activities/iati-activity/transaction/sector/narrative/@xml:lang
transaction_sector_narrative,/iati-activities/iati-activity/transaction/sector/narrative/text()
transaction_recipient_country_code,/iati-activities/iati-activity/transaction/recipient-country/@code
transaction_recipient_country_percentage,/iati-activities/iati-activity/transaction/recipient-country/@percentage
transaction_recipient_country_narrative_xml:lang,/iati-activities/iati-activity/transaction/recipient-country/narrative/@xml:lang
transaction_recipient_country_narrative,/iati-activities/iati-activity/transaction/recipient-country/narrative/text()
transaction_recipient_region_code,/iati-activities/iati-activity/transaction/recipient-region/@code
transaction_recipient_region_vocabulary,/iati-activities/iati-activity/transaction/recipient-region/@vocabulary
transaction_recipient_region_vocabulary_uri,/iati-activities/iati-activity/transaction/recipient-region/@vocabulary-uri
transaction_recipient_region_percentage,/iati-activities/iati-activity/transaction/recipient-region/@percentage
transaction_recipient_region_narrative_xml:lang,/iati-activities/iati-activity/transaction/recipient-region/narrative/@xml:lang
transaction_recipient_region_narrative,/iati-activities/iati-activity/transaction/recipient-region/narrative/text()
transaction_flow_type_code,/iati-activities/iati-activity/transaction/flow-type/@code
transaction_flow_type,/iati-activities/iati-activity/transaction/flow-type/text()
transaction_finance_type_code,/iati-activities/iati-activity/transaction/finance-type/@code
transaction_finance_type,/iati-activities/iati-activity/transaction/finance-type/text()
transaction_aid_type,/iati-activities/iati-activity/transaction/aid-type/text()
transaction_tied_status_code,/iati-activities/iati-activity/transaction/tied-status/@code
transaction_tied_status,/iati-activities/iati-activity/transaction/tied-status/text()
document_link_url,/iati-activities/iati-activity/document-link/@url
document_link_format,/iati-activities/iati-activity/document-link/@format
document_link_title,/iati-activities/iati-activity/document-link/title/text()
document_link_description_narrative_xml:lang,/iati-activities/iati-activity/document-link/description/narrative/@xml:lang
document_link_description_narrative,/iati-activities/iati-activity/document-link/description/narrative/text()
document_link_category_code,/iati-activities/iati-activity/document-link/category/@code
document_link_category,/iati-activities/iati-activity/document-link/category/text()
document_link_language_code,/iati-activities/iati-activity/document-link/language/@code
document_link_language,/iati-activities/iati-activity/document-link/language/text()
document_link_document_date_iso_date,/iati-activities/iati-activity/document-link/document-date/@iso-date
document_link_document_date,/iati-activities/iati-activity/document-link/document-date/text()
related_activity_ref,/iati-activities/iati-activity/related-activity/@ref
related_activity_type,/iati-activities/iati-activity/related-activity/@type
related_activity,/iati-activities/iati-activity/related-activity/text()
legacy_data_name,/iati-activities/iati-activity/legacy-data/@name
legacy_data_value,/iati-activities/iati-activity/legacy-data/@value
legacy_data_iati_equivalent,/iati-activities/iati-activity/legacy-data/@iati-equivalent
legacy_data,/iati-activities/iati-activity/legacy-data/text()
conditions_attached,/iati-activities/iati-activity/conditions/@attached
conditions_condition_type,/iati-activities/iati-activity/conditions/condition/@type
conditions_condition_narrative_xml:lang,/iati-activities/iati-activity/conditions/condition/narrative/@xml:lang
